"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
6.33333333333333, 7.40031520036777, 2.43316493244225, 10.3135942874087, 10.8554495671747, 0.0159948003354161, 0.00620316078489088, 0.0544023605116885
6.5, 11.0735099994645, 3.63974687739648, 11.0735099994645, 11.6563450978322, 0.0418778151502978, 0.0135202732964225, 0.0544023605116885
6.66666666666667, 12.0739727392402, 3.96849771580914, 12.0739727392402, 12.7094371168946, 0.050385837166887, 0.0165068875282428, 0.0544023605116885
6.83333333333333, 20.7329612930821, 6.78175040009852, 20.7329612930821, 21.8139364276528, 0.294284427315628, 0.0637859461406355, 0.294284427315628
7, 20.0425397154123, 6.58040875631742, 20.7329612930821, 21.8139364276528, 0.163629276471794, 0.0465288604996599, 0.294284427315628
7.16666666666667, 31.1654648297307, 10.2121551771099, 31.1654648297307, 32.7959496190391, 0.488653720187508, 0.129105626646914, 0.488653720187508
7.33333333333333, 24.2973744150598, 7.99109570964312, 31.1654648297307, 32.7959496190391, 0.196825026770962, 0.0696538866042322, 0.488653720187508
7.5, 16.511762139155, 5.43262632073951, 31.1654648297307, 32.7959496190391, 0.0574085527091358, 0.0243800032709016, 0.488653720187508
7.66666666666667, 20.0532749352477, 6.59316231895077, 31.1654648297307, 32.7959496190391, 0.1108442329267, 0.0384192548465674, 0.488653720187508
7.83333333333333, 20.4812290524748, 6.73360873448684, 31.1654648297307, 32.7959496190391, 0.121083301959499, 0.0414543003169206, 0.488653720187508
8, 26.5189324482809, 8.71765772291415, 31.1654648297307, 32.7959496190391, 0.204788919502184, 0.068577476295954, 0.488653720187508
8.16666666666667, 26.4288390285544, 8.6837400117237, 31.1654648297307, 32.7959496190391, 0.223559177937535, 0.0705040106764355, 0.488653720187508
8.33333333333333, 24.0537549924749, 7.90199851699646, 31.1654648297307, 32.7959496190391, 0.195853538748848, 0.0602769723415751, 0.488653720187508
8.5, 32.3777263786018, 10.5819062331756, 32.3777263786018, 34.0630871321923, 0.590305496396602, 0.133864602420449, 0.590305496396602
8.66666666666667, 23.3981396845291, 7.68986851110808, 32.3777263786018, 34.0630871321923, 0.174058394672598, 0.0564849758706716, 0.590305496396602
8.83333333333333, 27.0180608006933, 8.86961196365776, 32.3777263786018, 34.0630871321923, 0.27519800071767, 0.0796261247449061, 0.590305496396602
9, 24.5576243987334, 8.06944665411418, 32.3777263786018, 34.0630871321923, 0.196165565382792, 0.0623987685368664, 0.590305496396602
9.16666666666667, 30.3734135954536, 9.96729618517562, 32.3777263786018, 34.0630871321923, 0.387457238321752, 0.111398008504842, 0.590305496396602
9.33333333333333, 33.1973289481021, 10.882322447957, 33.1973289481021, 34.9354775428905, 0.51786796904242, 0.140673843854145, 0.590305496396602
9.5, 37.632440541479, 12.3192809437001, 37.632440541479, 39.5975411367646, 0.722020897472746, 0.187362052530961, 0.722020897472746
9.66666666666667, 23.3429378597292, 7.6525778525324, 37.632440541479, 39.5975411367646, 0.284274125939338, 0.0736080251995036, 0.722020897472746
9.83333333333333, 31.5217927221403, 10.3525292419834, 37.632440541479, 39.5975411367646, 0.345751508208549, 0.105415080587146, 0.722020897472746
10, 31.5052326327342, 10.3528514678725, 37.632440541479, 39.5975411367646, 0.317676889364724, 0.10152293319045, 0.722020897472746
10.1666666666667, 24.6874121803947, 8.10366491790882, 37.632440541479, 39.5975411367646, 0.24389648499609, 0.0694693032262642, 0.722020897472746
10.3333333333333, 38.7565317338318, 12.6095919018542, 38.7565317338318, 40.7562333878736, 1.18573107364814, 0.260658001856003, 1.18573107364814
10.5, 27.2789728285489, 8.97131841238044, 38.7565317338318, 40.7562333878736, 0.187469501520514, 0.0666114941978974, 1.18573107364814
10.6666666666667, 22.3595893598773, 7.33650580146599, 38.7565317338318, 40.7562333878736, 0.234441538773821, 0.0643454514561359, 1.18573107364814
10.8333333333333, 19.1448781855824, 6.28494105957368, 38.7565317338318, 40.7562333878736, 0.166156383082108, 0.0460531613173999, 1.18573107364814
11, 14.2090879407084, 4.67044606808522, 38.7565317338318, 40.7562333878736, 0.0634907268756685, 0.0209084340425951, 1.18573107364814
